Name,Skills,Research,Preferred Role
Graduate_1,"sql, bioinformatics, deep learning",Physics,Software Developer
Graduate_2,"c++, deep learning, pytorch, tensorflow, machine learning, java",Physics,Machine Learning Engineer
Graduate_3,"machine learning, java, nlp, cv, scikit-learn, pytorch",Machine Learning,Postdoc
Graduate_4,"scikit-learn, tensorflow, nlp",AI & NLP,Other
Graduate_5,"statistics, tensorflow, sql, data mining",Other,Data Scientist
Graduate_6,"cv, deep learning, sql",Machine Learning,AI Researcher
Graduate_7,"tensorflow, pytorch, bioinformatics, deep learning, python, c++",Cybersecurity,Other
Graduate_8,"sql, pytorch, tensorflow",Physics,Machine Learning Engineer
Graduate_9,"python, sql, c++, nlp",Physics,Research Scientist
Graduate_10,"machine learning, c++, data mining, java",Chemistry,Other
Graduate_11,"deep learning, tensorflow, pytorch",Biology,Postdoc
Graduate_12,"tensorflow, c++, sql, nlp, bioinformatics, deep learning",Other,Software Developer
Graduate_13,"tensorflow, statistics, bioinformatics, nlp, cv",Mathematics,Research Scientist
Graduate_14,"pytorch, sql, deep learning, python, cv",Environmental Science,Research Scientist
Graduate_15,"machine learning, data mining, tensorflow, scikit-learn, cv, python",AI & NLP,Software Developer
Graduate_16,"machine learning, statistics, pytorch, c++, python",Cybersecurity,Research Scientist
Graduate_17,"scikit-learn, java, bioinformatics, sql, cv, deep learning",Chemistry,Other
Graduate_18,"python, sql, c++, tensorflow",AI & NLP,Software Developer
Graduate_19,"c++, python, pytorch, bioinformatics, java",Mathematics,Research Scientist
Graduate_20,"pytorch, deep learning, java, data mining, scikit-learn, bioinformatics",AI & NLP,Data Scientist
Graduate_21,"nlp, deep learning, c++, bioinformatics, tensorflow",Biology,Machine Learning Engineer
Graduate_22,"data mining, tensorflow, bioinformatics, machine learning, pytorch, sql",AI & NLP,Postdoc
Graduate_23,"java, tensorflow, pytorch, nlp",Biology,Software Developer
Graduate_24,"sql, java, data mining, tensorflow",Other,Machine Learning Engineer
Graduate_25,"tensorflow, nlp, statistics, bioinformatics, python, machine learning",Physics,Other
Graduate_26,"c++, bioinformatics, statistics, java, deep learning, python",Environmental Science,Software Developer
Graduate_27,"tensorflow, machine learning, scikit-learn, java, bioinformatics, sql",Environmental Science,Other
Graduate_28,"pytorch, statistics, sql, python, tensorflow",Mathematics,Data Scientist
Graduate_29,"statistics, machine learning, cv, pytorch",Robotics,Software Developer
Graduate_30,"data mining, nlp, cv, python",Other,AI Researcher
Graduate_31,"tensorflow, java, bioinformatics, nlp, python",Cybersecurity,Research Scientist
Graduate_32,"python, pytorch, data mining, c++",Cybersecurity,AI Researcher
Graduate_33,"java, nlp, deep learning, tensorflow",AI & NLP,Research Scientist
Graduate_34,"python, sql, statistics, bioinformatics, deep learning",Environmental Science,Data Scientist
Graduate_35,"c++, scikit-learn, python",Mathematics,AI Researcher
Graduate_36,"statistics, machine learning, bioinformatics",Environmental Science,Software Developer
Graduate_37,"machine learning, python, tensorflow, bioinformatics",AI & NLP,Postdoc
Graduate_38,"tensorflow, bioinformatics, nlp",Chemistry,Machine Learning Engineer
Graduate_39,"statistics, deep learning, nlp, scikit-learn",Other,Research Scientist
Graduate_40,"cv, tensorflow, scikit-learn, deep learning",AI & NLP,AI Researcher
Graduate_41,"nlp, deep learning, python, sql, statistics",AI & NLP,Data Scientist
Graduate_42,"python, statistics, c++, tensorflow, sql",Environmental Science,Machine Learning Engineer
Graduate_43,"c++, tensorflow, machine learning, pytorch, statistics",Other,Software Developer
Graduate_44,"java, tensorflow, python",Machine Learning,Research Scientist
Graduate_45,"tensorflow, java, bioinformatics, data mining, nlp",Cybersecurity,Other
Graduate_46,"tensorflow, deep learning, bioinformatics",Cybersecurity,Machine Learning Engineer
